Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,2,2,0,2,3498,0,0.9994285714285714,0.0,0.0,0.0,0.9994285714285714
10,0,2,2,0,2,1748,0,0.9988571428571429,0.0,0.0,0.0,0.9988571428571429
15,0,1,1,0,1,1166,0,0.9991431019708654,0.0,0.0,0.0,0.9991431019708654
20,0,1,1,0,1,874,0,0.9988571428571429,0.0,0.0,0.0,0.9988571428571429
25,0,1,1,0,1,699,0,0.9985714285714286,0.0,0.0,0.0,0.9985714285714286
30,0,1,1,0,1,583,0,0.9982876712328768,0.0,0.0,0.0,0.9982876712328768
35,0,0,0,0,0,500,0,1.0,0.0,0.0,0.0,1.0
40,0,1,1,0,1,437,0,0.997716894977169,0.0,0.0,0.0,0.997716894977169
45,0,0,0,0,0,389,0,1.0,0.0,0.0,0.0,1.0
50,0,2,2,0,2,348,0,0.9942857142857143,0.0,0.0,0.0,0.9942857142857143
55,0,0,0,0,0,319,0,1.0,0.0,0.0,0.0,1.0
60,0,2,2,0,2,290,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
65,0,2,2,0,2,268,0,0.9925925925925926,0.0,0.0,0.0,0.9925925925925926
70,0,1,1,0,1,249,0,0.996,0.0,0.0,0.0,0.996
