Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,1,1,0,1,3499,0,0.9997142857142857,0.0,0.0,0.0,0.9997142857142857
10,0,0,0,0,0,1750,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,1167,0,1.0,0.0,0.0,0.0,1.0
20,0,1,1,0,1,874,0,0.9988571428571429,0.0,0.0,0.0,0.9988571428571429
25,0,2,2,0,2,698,0,0.9971428571428571,0.0,0.0,0.0,0.9971428571428571
30,0,1,1,0,1,583,0,0.9982876712328768,0.0,0.0,0.0,0.9982876712328768
35,0,1,1,0,1,499,0,0.998,0.0,0.0,0.0,0.998
40,0,0,0,0,0,438,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,389,0,1.0,0.0,0.0,0.0,1.0
50,0,1,1,0,1,349,0,0.9971428571428571,0.0,0.0,0.0,0.9971428571428571
55,0,1,1,0,1,318,0,0.9968652037617555,0.0,0.0,0.0,0.9968652037617555
60,0,1,1,0,1,291,0,0.9965753424657534,0.0,0.0,0.0,0.9965753424657534
65,0,0,0,0,0,270,0,1.0,0.0,0.0,0.0,1.0
70,0,0,0,0,0,250,0,1.0,0.0,0.0,0.0,1.0
